Type of data,Jan-Dec 2014,2015,2016,2017,2018
EA Survey respondents who identify as EA,1457 respondents,2240,No survey,1801,2576
GWWC pledges,+396 members,642,949,909,606
OFTW pledges,24,48,136,159,652
Founder’s Pledge pledges,Didn’t exist,+$90M,+$120M,+$231M,+$547M
